date,AI career,AI certification,AI skills,learn AI,machine learning bootcamp,prompt engineering jobs
2019-01-01,1.38927,1.615945,0.979062,2.631617,0.67713,0.0
2019-02-01,1.58598,1.33602,1.166227,2.889539,0.956216,0.0
2019-03-01,1.776951,1.181442,0.844014,2.353962,1.103313,0.0
2019-04-01,2.019367,1.211933,1.091916,2.923333,0.882102,0.0
2019-05-01,1.686587,1.241697,0.841988,2.794501,0.760123,0.0
2019-06-01,1.586739,1.377198,0.906435,2.954697,0.574569,0.0
2019-07-01,2.083756,1.395156,1.287105,2.862696,0.776199,0.0
2019-08-01,1.404605,1.195587,0.971398,3.181959,0.384495,0.0
2019-09-01,1.251444,1.295567,1.032615,2.835063,0.117259,0.0
2019-10-01,1.789763,1.689893,1.13051,2.679766,0.458287,0.0
2019-11-01,1.597581,1.614413,1.074352,2.834243,0.814142,0.0
2019-12-01,1.491669,1.379411,1.022563,2.952123,0.549089,0.0
2020-01-01,1.844505,1.306917,1.054744,2.813681,0.825774,0.0
2020-02-01,1.749735,1.321846,1.360512,2.811366,0.862274,0.0
2020-03-01,1.584928,1.41166,0.991357,2.603442,0.944974,0.0
2020-04-01,1.438818,1.113852,1.030165,2.614388,1.137861,0.0
2020-05-01,1.877981,1.253157,1.157598,2.407271,0.916266,0.0
2020-06-01,1.832641,0.996318,1.165829,3.289881,0.890109,0.0
2020-07-01,1.679768,1.372659,1.178055,2.451718,0.748255,0.0
2020-08-01,2.076714,1.41779,1.09581,2.605987,0.449786,0.0
2020-09-01,1.481703,1.21206,0.828549,2.598846,0.588999,0.0
2020-10-01,1.388793,1.586466,1.245015,3.050579,0.373756,0.0
2020-11-01,1.558851,1.076911,0.828048,2.717414,0.326831,0.0
2020-12-01,1.6907,1.033484,1.045395,3.149368,0.630476,0.0
2021-01-01,1.749641,1.34085,0.886859,2.611423,0.56523,0.0
2021-02-01,1.650788,1.490572,0.990379,2.878118,0.854227,0.0
2021-03-01,1.771819,1.606475,1.049314,2.566103,0.95844,0.0
2021-04-01,1.444686,1.216483,1.048204,3.400642,1.162884,0.0
2021-05-01,1.994528,1.49632,1.063288,2.467472,1.031012,0.0
2021-06-01,1.683241,1.292991,1.242057,2.88675,0.846246,0.0
2021-07-01,1.927928,1.268582,1.06803,2.977458,0.822665,0.0
2021-08-01,1.769916,1.460826,0.963377,2.915864,0.758531,0.0
