date,/m/07s_c,unemployment
2019-01-01,3119.212268,2967.025803
2019-02-01,3214.059711,3111.486315
2019-03-01,3610.972279,3514.165884
2019-04-01,3927.061023,3138.743555
2019-05-01,3372.078849,3179.053193
2019-06-01,3207.229241,3007.627381
2019-07-01,3474.028402,2587.077125
2019-08-01,3267.696213,2994.033352
2019-09-01,3520.851229,3547.915498
2019-10-01,5829.932474,5310.212753
2019-11-01,9639.307125,9331.434346
2019-12-01,17369.833908,15199.198368
2020-01-01,30347.658022,27331.04299
2020-02-01,36577.707103,39903.89431
2020-03-01,53620.611826,55301.39706
2020-04-01,63508.630344,62359.862013
2020-05-01,56870.135106,60690.529335
2020-06-01,51818.967926,55266.877728
2020-07-01,34137.324965,35459.215511
2020-08-01,21964.328563,24008.637128
2020-09-01,18334.581749,15497.058093
2020-10-01,11456.673947,9382.622198
2020-11-01,9469.127297,8928.356851
2020-12-01,7547.723205,8131.741425
2021-01-01,7847.054657,9330.050235
2021-02-01,8140.048318,7547.071749
2021-03-01,7187.508609,7702.054866
2021-04-01,7890.790283,7257.309572
2021-05-01,6923.606834,6263.44014
2021-06-01,6612.02699,7019.514032
2021-07-01,5901.554318,6244.311689
2021-08-01,6464.266175,5686.96682
2021-09-01,5121.451295,4516.294175
2021-10-01,4338.916016,5008.342623
2021-11-01,4782.247184,3784.591252
2021-12-01,3925.14641,4326.514955
2022-01-01,4351.514895,4778.511406
2022-02-01,3549.983102,3682.567997
2022-03-01,3640.23521,3694.065191
2022-04-01,3880.160794,3657.930784
2022-05-01,3635.825914,3130.000755
2022-06-01,3294.555753,2704.486133
2022-07-01,2972.244412,2865.632358
2022-08-01,2683.757187,2390.478524
2022-09-01,2263.359525,2531.031571
2022-10-01,2356.031158,2200.309395
2022-11-01,2472.390988,2741.01624
2022-12-01,2982.56689,2448.800062
2023-01-01,3082.468389,2776.569974
2023-02-01,2791.60956,3288.438753
2023-03-01,3522.019453,2940.218532
2023-04-01,3392.176961,3385.504343
2023-05-01,3247.102156,3602.40733
2023-06-01,3409.035835,2690.451641
2023-07-01,3247.439885,2892.09652
2023-08-01,2954.881626,2666.815504
2023-09-01,2394.64644,2591.164566
2023-10-01,2438.157525,2139.979365
2023-11-01,2635.01522,2181.028686
2023-12-01,2964.619928,2721.585787
2024-01-01,2884.998183,2917.712505
2024-02-01,3201.728666,3149.371734
2024-03-01,3129.16774,3351.753511
2024-04-01,3165.062145,3144.113424
2024-05-01,3656.165619,3321.959139
2024-06-01,3602.622407,3159.888901
2024-07-01,2982.717571,2687.127877
2024-08-01,2970.777238,3002.446873
2024-09-01,2641.252505,2531.078488
2024-10-01,2370.976049,2148.652336
2024-11-01,2641.203132,2566.725656
2024-12-01,3088.368045,2408.791531
2025-01-01,2991.401751,3029.45529
2025-02-01,3656.807351,3373.673108
2025-03-01,2713.523244,3047.238692
2025-04-01,3730.132701,3581.25805
2025-05-01,3456.919397,3369.060311
2025-06-01,3172.258089,3290.54886
2025-07-01,3022.022586,3282.4688
2025-08-01,2312.734839,2561.213884
2025-09-01,2521.875702,2291.590765
2025-10-01,2571.422514,2205.992258
2025-11-01,2870.486117,2279.480661
2025-12-01,2635.980552,2596.385743
2026-01-01,2805.961535,2927.78265
2026-02-01,3119.543169,3155.842627
2026-03-01,3684.41967,3477.181592
2026-04-01,3592.050311,3328.458503
2026-05-01,3287.518821,3640.602139
