date,ask for a raise,best places to work,promotion,quit my job,remote jobs,sign on bonus
2019-01-01,26.682953,53.064321,712.707972,30.39211,184.352311,21.570791
2019-02-01,26.20386,57.557733,776.875748,36.044173,133.927384,23.890868
2019-03-01,24.637331,54.229511,695.294521,35.939938,191.233867,15.916495
2019-04-01,27.627442,54.635305,735.726584,40.874551,211.55479,17.79293
2019-05-01,25.671775,51.418197,779.687125,34.407678,180.512819,17.6243
2019-06-01,25.298691,49.942479,732.610758,33.05205,214.749721,23.071772
2019-07-01,26.771446,49.994084,743.571154,32.661741,223.074075,29.53006
2019-08-01,28.024761,50.019462,693.128194,30.430461,211.005761,31.625201
2019-09-01,23.788603,50.524211,735.528705,32.761749,193.999897,25.352204
2019-10-01,19.460292,43.137284,719.385672,25.231068,226.746187,24.903378
2019-11-01,24.01343,53.140627,762.251392,27.440877,237.677626,15.795769
2019-12-01,27.041579,48.065506,780.621582,28.616591,176.384037,20.929305
2020-01-01,24.075543,51.714531,837.686909,36.290923,276.437295,20.048865
2020-02-01,26.814957,51.461153,792.388995,40.19184,216.056475,20.81661
2020-03-01,28.334797,46.733166,797.094398,35.964729,220.753985,22.727425
2020-04-01,26.787754,60.786182,800.831529,36.293535,268.328577,21.611638
2020-05-01,30.018777,59.677503,786.725519,36.728233,269.328645,15.682801
2020-06-01,27.04763,53.92469,805.154515,39.025635,318.125465,26.691641
2020-07-01,26.948831,52.967963,781.137958,31.377941,311.484967,19.509028
2020-08-01,22.23127,52.413757,790.053829,33.495107,295.502505,24.856987
2020-09-01,22.308278,42.41969,822.207418,34.727517,354.460141,32.296331
2020-10-01,24.855953,46.033789,754.803723,33.023283,314.250952,20.422462
2020-11-01,22.569841,52.146932,826.875849,32.610669,384.342388,14.07885
2020-12-01,28.96741,45.932842,844.513452,36.263138,398.6708,23.155983
2021-01-01,25.20091,54.774232,816.457944,26.770303,411.675326,28.803839
2021-02-01,28.311712,50.823673,771.344353,38.533626,434.8585,37.554438
2021-03-01,31.229553,60.095847,829.085848,35.755849,384.726038,30.034563
2021-04-01,25.804086,58.907434,893.909836,32.748101,458.051004,41.994134
2021-05-01,24.596054,52.0696,856.634466,39.491684,503.713796,42.938758
2021-06-01,24.135859,61.508957,825.020933,41.100976,526.394256,48.826664
2021-07-01,29.65646,51.561634,834.856752,35.187654,498.892994,63.861645
2021-08-01,23.670355,48.90899,870.218601,37.078624,610.628314,50.822252
2021-09-01,30.397422,51.27215,859.081499,38.078759,545.353006,60.855975
2021-10-01,22.239381,54.544549,837.832037,36.904743,638.778288,64.125954
2021-11-01,24.563302,46.706586,841.67476,38.401817,637.087774,68.380178
2021-12-01,29.105275,52.996719,853.247256,36.926382,614.150908,65.549727
2022-01-01,31.815232,57.115266,852.327694,36.546301,731.012436,66.832202
2022-02-01,33.503759,60.822422,943.461271,33.134103,632.254527,63.7912
2022-03-01,32.518992,60.735893,897.650894,38.419889,736.766167,65.513541
2022-04-01,32.510156,59.381889,951.514756,37.15026,760.023293,61.482412
2022-05-01,31.079394,57.019766,962.95999,45.910904,713.175192,63.127304
2022-06-01,30.495903,58.994576,944.949327,37.892343,815.698612,56.355692
2022-07-01,25.722036,52.011444,897.051391,37.409614,769.998139,55.992673
2022-08-01,23.604503,42.264598,917.111903,37.314456,811.547745,50.533406
2022-09-01,24.593488,54.016112,901.953624,34.812731,830.412874,50.904201
2022-10-01,23.824538,55.365739,877.888944,39.485153,834.62765,41.601762
2022-11-01,23.568854,43.118143,922.41027,33.053976,892.432331,29.860632
2022-12-01,27.590969,50.511077,889.628806,36.723822,911.739549,36.968734
2023-01-01,29.788263,59.676617,975.630382,35.532588,830.058721,23.177071
2023-02-01,29.171017,68.079982,941.061481,35.419932,972.17361,24.284935
2023-03-01,33.791901,61.913302,973.355298,38.762769,873.50032,24.617355
2023-04-01,27.695777,59.737988,983.498636,41.00889,1001.301848,32.597752
2023-05-01,29.713928,61.398541,969.553359,39.55017,1025.068205,18.657303
2023-06-01,27.357944,65.949506,992.600814,37.782737,956.361343,39.850994
2023-07-01,23.033658,55.516143,955.75289,34.261048,1003.567428,31.624227
2023-08-01,26.043298,52.553232,991.138919,36.850683,995.771813,28.392956
2023-09-01,24.897555,52.138899,922.300102,31.607763,1051.403159,27.380424
2023-10-01,28.633624,49.736686,968.791387,38.120168,1067.678629,28.842216
2023-11-01,26.878953,54.860554,1030.847362,36.609243,1131.186421,29.88449
2023-12-01,23.889533,62.848714,954.99006,33.207346,1172.41235,30.480862
2024-01-01,32.635231,60.292317,979.667651,38.272373,1195.827352,30.222418
2024-02-01,32.602584,60.640586,1045.417235,38.563531,1137.513279,28.458323
2024-03-01,32.15332,62.462882,1062.707962,42.9956,1171.631125,27.410646
2024-04-01,30.58379,58.197237,1090.518903,46.581351,1132.662472,27.694907
2024-05-01,28.399478,67.462566,1111.996122,36.652559,1187.765197,27.620367
2024-06-01,28.819483,61.938651,1129.041644,41.645078,1278.594065,33.03508
2024-07-01,31.021872,59.17808,1153.290995,39.439602,1324.623313,30.974227
2024-08-01,31.561466,70.32243,1142.29456,40.55402,1230.626045,16.938445
2024-09-01,29.660033,57.064885,1135.441762,38.201514,1276.30143,31.423603
2024-10-01,24.227876,52.342836,1180.177211,35.024092,1318.94377,29.678945
2024-11-01,23.10288,54.464443,1239.67595,36.844762,1351.206446,28.925165
2024-12-01,27.402216,62.743783,1206.020988,36.631922,1327.615859,27.545926
2025-01-01,24.178902,61.253082,1210.764121,43.868021,1396.962442,33.696451
2025-02-01,30.957919,57.696888,1303.21242,42.323935,1381.046426,33.090106
2025-03-01,30.92907,69.107043,1293.709073,49.181648,1419.421909,26.308489
2025-04-01,30.584909,63.577424,1254.819914,43.818018,1461.85137,31.128209
2025-05-01,27.411319,73.223318,1362.743158,41.592856,1460.256891,25.713373
2025-06-01,31.634,68.370192,1333.940154,38.198857,1462.544564,24.181527
2025-07-01,27.568248,59.910712,1357.284002,35.950581,1495.615608,27.293131
2025-08-01,24.525208,64.474065,1379.95941,35.227592,1516.465482,33.349574
2025-09-01,19.221268,57.941295,1388.394482,39.803304,1525.199559,33.8125
2025-10-01,25.981213,60.561095,1421.283555,40.246175,1549.648157,32.152342
2025-11-01,30.932553,59.908804,1409.614901,34.498352,1643.945887,33.100383
2025-12-01,31.803148,56.564573,1465.393174,43.145115,1622.436778,32.364713
2026-01-01,28.057259,60.025801,1472.2136,40.630817,1608.180787,27.834074
2026-02-01,29.24447,69.369843,1532.164314,44.140379,1667.878176,32.22769
2026-03-01,33.070012,65.891026,1555.781533,49.754738,1646.64722,33.801638
2026-04-01,29.854036,66.435406,1531.936839,48.130518,1726.924986,33.717165
2026-05-01,32.752556,63.709637,1609.899972,44.352484,1714.785688,35.555653
