date,travel to Maldives,trip to Maldives,visit Maldives,Tourism_Index,Smoothed_Tourism,Tourist_Arrivals
1/1/2010,-0.825007669,-1.70632838,-1.059997237,-1.096982014,,67478
2/1/2010,-1.045956149,-1.727994448,-1.691462855,-1.384783634,,77063
3/1/2010,-1.270347909,-1.700412195,-1.11667723,-1.451536364,,74975
4/1/2010,-1.012231711,-1.57728062,-1.166210898,-1.386325841,-1.409333616,60742
5/1/2010,-0.765337735,-1.703289533,-0.922250153,-1.188168426,-1.367642182,58324
6/1/2010,-1.015519616,-1.730872294,-1.206092265,-1.256262024,-1.364879451,44050
7/1/2010,-1.091980107,-1.751523917,-1.273038456,-1.255068306,-1.186298527,57232
8/1/2010,-1.126568734,0.176243144,-1.305722092,-0.844553896,-1.237399755,66315
9/1/2010,-1.257799056,-1.513880575,-1.073929287,-1.175661816,-1.18853379,62524
10/1/2010,-1.16797396,-0.954674772,-1.093424903,-1.154500886,-1.139677374,74707
11/1/2010,-0.87759976,0.000724199,-1.121291105,-0.858090324,-0.964192398,74252
12/1/2010,-0.944195753,-0.554384318,-0.920249414,-0.971727904,-0.992517453,74255
1/1/2011,-0.989820763,-1.582780434,-1.101342101,-1.127416944,-0.958516045,79493
2/1/2011,-0.647750285,-0.76077913,-1.344521061,-0.938510299,-0.999783752,87392
3/1/2011,-1.138794272,-1.568987538,-1.49249187,-1.389285117,-1.16387995,80732
4/1/2011,-0.963101732,-0.926556339,-1.27084829,-1.176258642,-1.171602222,79947
5/1/2011,-0.641917636,-1.73868668,-1.252892697,-1.204053479,-1.215036071,64456
6/1/2011,-0.763884001,-1.046301325,-1.080964041,-0.9582475,-1.083054466,55947
7/1/2011,-1.177958415,-1.549058054,-1.133831417,-1.361009766,-1.07563637,72516
8/1/2011,-1.049115301,-1.65025471,-1.522276379,-1.270189632,-1.235696801,76828
9/1/2011,-0.954009222,-0.723572843,-1.401528964,-1.054350484,-1.218436403,71861
10/1/2011,-1.039657313,-1.551814843,-1.163591149,-1.184082886,-1.252177028,91059
11/1/2011,-1.044315836,-1.629419557,-1.289443193,-1.290583233,-1.253181448,85501
12/1/2011,-1.153753551,-1.770864376,-1.240508143,-1.421568193,-1.179259799,85601
1/1/2012,-1.039841374,-0.933401045,-0.93816993,-1.112610551,-1.189278219,96146
2/1/2012,-0.969643426,-1.704291478,-1.193541779,-1.317360963,-1.361646523,83252
3/1/2012,-1.149506908,-0.962817239,-1.205018342,-1.10761824,-1.177927596,76469
4/1/2012,-1.094382996,-1.064059854,-1.089373839,-0.976414672,-1.14540862,79288
5/1/2012,-1.002035166,-1.014753328,-1.217605437,-1.232527897,-1.234226413,63534
6/1/2012,-1.054657471,-1.603840414,-1.260518577,-1.205774804,-1.108960843,59379
7/1/2012,-0.75806515,-0.808617985,-1.135012178,-1.056159091,-1.10509047,76966
8/1/2012,-0.72281258,-1.100025687,-0.923945313,-0.905116655,-1.107223788,79768
9/1/2012,-0.945788324,-1.183503586,-1.235872424,-1.127839741,-1.0236245,76806
10/1/2012,-1.178763601,-1.617038003,-1.019861276,-1.319545963,-1.00481421,92391
11/1/2012,-0.963932943,-1.012753541,-1.440212258,-1.12359857,-1.022396457,82311
12/1/2012,-1.204742723,-1.517585602,-1.440234941,-1.305299675,-1.23988209,91717
1/1/2013,-0.777972013,-0.848163857,-0.988112542,-0.831433696,-1.059021441,88869
2/1/2013,-0.933489467,-0.980723355,-1.115571228,-0.997877631,-1.188705705,104745
3/1/2013,-0.943898429,-0.987724481,-1.029613711,-1.097009751,-1.04845297,99498
4/1/2013,-1.036502055,-1.111680248,-1.247997978,-1.18652353,-1.102603223,90636
5/1/2013,-0.866509913,-0.870311731,-0.99016185,-0.908161108,-1.069598949,79426
6/1/2013,-0.81572756,-0.683652902,-1.091392643,-0.970331945,-1.010495023,76493
7/1/2013,-0.80114567,-0.716869397,-0.927672747,-0.91120185,-0.897301521,87972
8/1/2013,-0.851229551,-0.776613073,-0.898198878,-0.863454044,-0.998015042,98338
9/1/2013,-1.213799183,-0.906771798,-1.111056241,-0.994243904,-0.927898593,92298
10/1/2013,-0.900594866,-1.007044098,-0.816928518,-0.9392185,-0.921520489,107331
11/1/2013,-0.920910233,-1.147193782,-0.831755552,-0.954706716,-0.999735475,94584
12/1/2013,-1.020207311,-0.895327822,-0.95154533,-0.912735662,-1.082255109,105012
1/1/2014,-0.668669702,-0.474363918,-0.58809741,-0.600010584,-0.925413744,105296
2/1/2014,-0.455174232,-0.788481102,-0.764921137,-0.733686014,-0.791750784,110705
3/1/2014,-0.57518357,-0.500830282,-0.734183105,-0.544637991,-0.795151813,105560
4/1/2014,-0.884182552,-0.854042209,-0.537931135,-0.802395979,-0.68811996,105309
5/1/2014,-0.752990538,-0.531211822,-0.89783089,-0.794958603,-0.654198163,91296
6/1/2014,-0.737248222,-0.400139415,-0.618318972,-0.647868601,-0.632714148,83347
7/1/2014,-0.784185455,-0.411838341,-0.701193147,-0.614048154,-0.732846463,100191
8/1/2014,-0.850669261,-0.344094679,-0.507517437,-0.615572734,-0.665569675,104186
9/1/2014,-0.734421072,-0.801196357,-0.917803149,-0.909327848,-0.73613424,95114
10/1/2014,-0.862612161,-1.13960857,-0.781250346,-1.013350847,-0.775481965,110331
11/1/2014,-0.896071897,-1.006828791,-0.66482806,-0.917866727,-0.872048332,89778
